SampleID,Observed_Age,Pred_RF
GSM1344756,66.9,59.55000000000004
GSM1345521,61.9,53.49399999999999
GSM1344485,48.4,46.607999999999976
GSM1345439,44.0,55.17300000000003
GSM1343299,45.3,51.304666666666705
GSM1344016,46.8,46.06566666666667
GSM1345681,40.1,42.17433333333337
GSM1345207,48.0,51.82699999999999
GSM1343217,54.7,45.50666666666668
GSM1345534,61.2,56.273666666666685
GSM1345356,56.7,57.13833333333332
GSM1343131,44.0,51.399666666666675
GSM1343396,42.7,49.802666666666696
GSM1344803,61.7,55.34966666666667
GSM1343205,41.0,43.732000000000035
GSM1343187,73.1,65.03299999999999
GSM1345425,37.7,42.41166666666669
GSM1343982,73.6,59.478000000000016
GSM1344062,46.8,55.98133333333334
GSM1343668,46.5,51.33266666666669
GSM1345679,55.2,50.407666666666685
GSM1345072,44.8,49.84499999999999
GSM1344626,53.5,51.87800000000005
GSM1344321,49.2,48.73600000000002
GSM1345708,43.8,49.35433333333329
GSM1345738,60.8,48.69066666666667
GSM1345616,42.5,53.04633333333333
GSM1345759,39.5,48.07533333333337
GSM1345597,37.4,40.56100000000004
GSM1344083,51.8,51.01666666666666
GSM1343228,36.1,42.017666666666685
GSM1343890,40.4,43.190333333333335
GSM1344014,54.9,52.073333333333366
GSM1344789,45.9,43.38766666666667
GSM1343499,44.7,47.32566666666668
GSM1345596,50.2,50.50933333333333
GSM1344611,42.0,39.91800000000005
GSM1343959,36.2,48.06866666666669
GSM1344805,55.3,50.99500000000003
GSM1345557,41.7,44.78233333333332
GSM1344904,51.6,49.06666666666667
GSM1344308,54.1,48.99300000000003
GSM1344826,43.2,48.90933333333337
GSM1344128,50.2,54.28566666666668
GSM1345449,57.2,45.58099999999997
GSM1345366,50.5,51.25266666666665
GSM1343750,41.1,49.46966666666667
GSM1345124,50.8,57.89466666666669
GSM1344586,74.4,62.786666666666704
GSM1343730,48.8,55.52100000000001
GSM1344979,62.4,55.86800000000003
GSM1343150,53.1,49.419333333333384
GSM1345121,46.9,47.800666666666686
GSM1343274,59.7,54.76733333333336
GSM1343050,57.9,54.65600000000001
GSM1344136,54.9,46.74200000000005
GSM1344640,40.7,47.46
GSM1343056,59.7,55.612666666666655
GSM1343154,47.7,45.99100000000001
GSM1343948,45.0,44.28566666666672
GSM1345477,50.2,50.80433333333337
GSM1344441,46.6,43.120333333333384
GSM1345694,44.7,52.61433333333333
GSM1343059,38.2,42.04766666666664
GSM1345662,36.5,40.50166666666667
GSM1344176,44.7,46.349333333333384
GSM1344046,71.0,59.91066666666668
GSM1344941,54.0,51.42000000000007
GSM1343366,65.0,61.01066666666667
GSM1345238,46.6,49.112666666666705
GSM1345407,54.2,51.231666666666676
GSM1343913,46.7,48.983000000000004
GSM1345431,47.9,51.56366666666673
GSM1345041,50.3,46.52433333333331
GSM1343508,48.3,46.20033333333331
GSM1344996,62.4,56.200666666666685
GSM1345091,35.4,47.1626666666667
GSM1343777,54.7,46.34433333333332
GSM1344034,73.2,64.705
GSM1343197,37.5,48.48766666666666
GSM1344200,49.5,52.411666666666655
GSM1345452,47.0,48.44333333333333
GSM1345341,68.8,52.65699999999998
GSM1343704,54.1,51.29933333333337
GSM1343474,46.3,48.94466666666666
GSM1345262,55.8,53.273999999999994
GSM1345012,49.5,52.9646666666667
GSM1343904,35.6,40.2746666666667
GSM1344184,39.3,44.59633333333335
GSM1345026,49.3,46.63200000000005
GSM1343256,70.0,57.76933333333331
GSM1345060,43.8,44.48133333333339
GSM1343329,62.3,54.59733333333334
GSM1345287,64.7,54.00100000000006
GSM1344226,37.8,44.1216666666667
GSM1345433,48.9,49.44000000000001
GSM1344759,66.5,59.999999999999986
GSM1344337,40.8,57.43533333333337
GSM1343787,54.4,53.91800000000002
GSM1343635,67.5,62.80366666666672
GSM1345393,46.2,54.91466666666667
GSM1345556,65.6,58.46599999999995
GSM1344542,43.0,47.55833333333334
GSM1343995,55.1,53.11133333333338
GSM1343251,46.2,48.2836666666667
GSM1345388,39.5,43.18366666666669
GSM1343958,49.8,43.75266666666668
GSM1344017,45.1,44.90399999999999
GSM1343395,62.1,65.31100000000002
GSM1343811,36.1,39.66366666666667
GSM1344588,40.9,43.981666666666676
GSM1344990,48.1,50.93633333333333
GSM1343128,56.5,57.685666666666684
GSM1343737,70.4,59.03233333333331
GSM1343449,52.3,51.3226666666667
GSM1343607,49.1,44.42266666666669
GSM1343613,50.6,52.57633333333332
GSM1343864,45.2,51.57166666666668
GSM1343833,71.3,63.185333333333304
GSM1344687,35.7,47.30500000000002
GSM1343671,55.6,58.726333333333386
GSM1343949,66.4,62.85199999999995
GSM1343505,56.8,51.32566666666673
GSM1344765,53.9,49.007000000000005
GSM1343517,68.2,57.2893333333334
GSM1344163,65.8,55.84966666666669
GSM1345303,38.6,42.52833333333335
GSM1343682,46.8,44.25499999999999
GSM1343863,66.3,52.20933333333337
GSM1343259,44.5,46.06400000000003
GSM1343350,37.9,49.16499999999997
GSM1344917,51.0,56.29933333333333
GSM1343422,44.3,45.698666666666696
GSM1343819,48.1,47.716666666666676
GSM1344035,53.5,53.78100000000003
GSM1345466,43.3,42.68899999999997
GSM1344992,45.6,48.852666666666686
GSM1343364,44.5,46.366333333333316
GSM1343157,61.8,55.02866666666669
GSM1343740,40.8,53.24066666666671
GSM1344260,70.3,53.272666666666645
GSM1344870,60.5,59.33200000000001
GSM1344859,39.2,45.49966666666665
GSM1345722,43.6,51.13166666666669
GSM1344287,56.0,56.29166666666666
GSM1344069,47.0,47.86966666666669
GSM1343443,57.1,59.97099999999998
GSM1343402,53.3,52.46600000000002
GSM1344932,38.6,39.998666666666665
GSM1344097,44.2,42.920000000000016
GSM1344762,48.3,50.20800000000001
GSM1344477,37.0,43.940999999999974
GSM1345480,39.8,41.21966666666667
GSM1344525,54.0,51.73066666666667
GSM1345719,51.6,56.77599999999995
GSM1343926,61.4,59.88966666666667
GSM1343790,52.0,54.53033333333333
GSM1343410,63.1,55.616
GSM1343687,49.1,51.171333333333315
GSM1343620,41.7,46.341000000000015
GSM1343927,65.1,61.040333333333315
GSM1344800,42.9,47.47866666666669
GSM1345512,55.3,52.43800000000001
GSM1343533,48.4,48.24633333333335
GSM1343340,36.3,42.22433333333334
GSM1344201,36.5,40.18800000000004
GSM1344482,52.5,53.997666666666696
GSM1343186,43.8,43.824333333333364
GSM1343680,58.0,54.94966666666672
GSM1344290,43.4,46.706333333333355
GSM1344914,48.2,52.615666666666634
GSM1344341,44.3,47.86800000000001
GSM1343808,47.0,50.951
GSM1343353,49.3,49.984999999999985
GSM1345119,47.7,46.83299999999998
GSM1344356,35.1,40.22533333333335
GSM1344488,55.1,53.542999999999985
GSM1345394,46.5,47.58066666666667
GSM1345184,51.5,54.51199999999999
GSM1344375,51.6,48.378000000000014
GSM1345460,46.2,45.18499999999998
GSM1345115,39.1,41.17600000000002
GSM1344397,53.9,55.50566666666664
GSM1345587,36.4,41.83933333333334
GSM1343708,37.1,42.179666666666655
GSM1343220,49.9,51.266
GSM1343576,47.4,48.80433333333333
GSM1345283,60.7,56.92799999999998
GSM1344600,62.0,50.69399999999999
GSM1343551,52.3,51.297666666666686
GSM1343271,35.1,45.41299999999999
GSM1344060,54.9,54.606666666666634
GSM1343909,56.5,52.081999999999994
GSM1343934,47.9,47.647666666666666
GSM1344569,56.6,54.86400000000006
GSM1344899,49.9,48.41633333333338
GSM1345734,54.2,50.44233333333333
GSM1344871,57.9,48.593333333333334
GSM1343877,48.0,47.28500000000001
GSM1344836,54.7,51.54366666666665
GSM1345605,50.6,48.71400000000003
GSM1344733,71.4,58.790333333333365
GSM1343645,36.8,43.494333333333365
GSM1343876,70.1,61.18233333333333
GSM1343839,57.7,51.82533333333335
GSM1345756,52.7,53.48899999999998
GSM1344593,51.9,43.139666666666656
GSM1344754,48.4,47.821999999999996
GSM1344445,35.2,40.62600000000001
GSM1344995,60.6,57.643333333333345
GSM1343436,49.7,53.87866666666667
GSM1345667,55.1,51.23133333333334
GSM1344190,54.0,46.035666666666685
GSM1345574,39.8,47.60333333333336
GSM1343235,54.6,50.79699999999999
GSM1345070,56.1,48.25966666666667
GSM1344521,35.8,43.08000000000003
GSM1345712,65.4,49.39866666666666
GSM1343184,54.0,48.88766666666667
GSM1344577,42.1,48.40533333333336
GSM1344768,49.2,41.08433333333335
GSM1343207,66.1,59.39666666666669
GSM1343358,35.3,42.12866666666671
GSM1343665,43.0,41.690333333333335
GSM1345575,51.8,52.240666666666684
GSM1344717,57.0,56.78566666666667
GSM1344644,44.4,48.09800000000002
GSM1344623,57.0,54.19300000000001
GSM1344823,45.6,41.798999999999985
GSM1345530,49.4,56.47166666666666
GSM1345316,61.1,56.23533333333335
GSM1344211,56.6,51.51699999999999
GSM1344313,43.6,47.704000000000036
GSM1344703,41.6,48.88966666666673
GSM1343554,66.0,56.45833333333337
GSM1345677,51.4,47.899333333333345
GSM1343961,54.4,52.75100000000002
GSM1345432,42.0,46.51833333333333
GSM1344665,39.4,45.59866666666668
GSM1345470,35.3,40.97900000000001
GSM1344111,39.6,42.50933333333335
GSM1345297,38.1,44.71266666666669
GSM1345251,38.0,47.321333333333314
GSM1344404,67.5,62.00100000000001
GSM1345593,40.0,44.85000000000003
GSM1345481,54.8,58.60433333333336
GSM1344854,35.5,42.734666666666655
GSM1343832,60.2,55.52466666666666
GSM1345645,61.1,50.91200000000005
GSM1343894,35.3,43.22900000000004
GSM1343693,66.5,57.657000000000046
GSM1345669,64.1,63.030666666666654
GSM1345563,57.4,53.78533333333333
GSM1343697,48.4,44.62800000000001
GSM1345443,55.5,56.223666666666695
GSM1344882,52.2,54.93500000000001
GSM1345654,51.8,54.276333333333355
GSM1343901,37.8,40.743
GSM1345496,56.3,54.326666666666675
GSM1344681,39.3,44.257000000000026
GSM1343361,57.4,54.14233333333334
GSM1344729,50.6,46.22266666666672
GSM1343873,51.0,60.04033333333333
GSM1343232,64.5,63.07799999999997
GSM1345065,49.0,50.769333333333364
GSM1344936,58.3,62.26266666666664
GSM1343394,52.0,50.330666666666666
GSM1343580,58.1,48.98366666666665
GSM1343945,38.5,46.501333333333335
GSM1343385,41.6,45.79433333333338
GSM1343530,52.2,54.107666666666645
GSM1343731,35.9,42.30100000000001
GSM1344026,36.5,45.71866666666667
GSM1345285,35.1,42.840999999999994
GSM1345478,48.7,50.039666666666676
GSM1343570,60.0,61.990999999999985
GSM1344355,57.5,49.906000000000034
GSM1344511,65.2,59.20033333333332
GSM1344142,61.5,53.93200000000003
GSM1345143,49.8,41.58533333333336
GSM1345441,40.6,48.51366666666667
GSM1345598,35.3,43.46200000000002
GSM1343540,52.3,56.96800000000003
GSM1344250,35.2,43.00033333333336
GSM1344712,31.4,43.97700000000005
GSM1345415,60.1,56.62000000000006
GSM1343276,52.9,50.3406666666667
GSM1343935,55.8,60.41099999999996
GSM1343224,42.3,46.44900000000002
GSM1344490,50.8,47.76533333333338
GSM1345048,47.2,49.32299999999998
GSM1343589,47.0,49.7886666666667
GSM1345658,47.1,57.37000000000005
GSM1343848,45.9,42.99033333333333
GSM1343726,38.2,45.98500000000001
GSM1344993,54.1,53.33
GSM1343243,55.5,60.545666666666655
GSM1345678,53.7,45.945000000000014
GSM1344927,55.2,56.86500000000009
GSM1343166,41.9,48.03899999999998
GSM1343699,60.3,60.26366666666671
GSM1343721,55.0,52.38466666666668
GSM1343180,66.6,63.50299999999996
GSM1345254,61.9,52.525666666666716
GSM1345516,50.3,52.927333333333344
GSM1344346,53.6,59.581666666666656
GSM1345265,69.8,64.41933333333326
GSM1343398,35.1,40.40700000000004
GSM1345689,45.0,44.30533333333334
GSM1344653,53.1,52.881000000000014
GSM1345701,40.7,44.33700000000001
GSM1343344,69.3,56.54200000000002
GSM1344059,48.5,53.532333333333305
GSM1344583,72.9,63.29699999999996
GSM1343881,53.0,57.16866666666666
GSM1344796,50.4,50.30466666666667
GSM1344886,56.3,56.728000000000065
GSM1344526,47.2,48.79933333333336
GSM1344330,51.7,47.98200000000003
GSM1343953,68.6,57.26233333333334
GSM1345643,42.4,50.61700000000007
GSM1343939,68.4,60.199666666666644
GSM1345227,65.0,63.941000000000024
GSM1344585,56.5,50.823666666666625
GSM1344536,55.5,59.321333333333335
GSM1343071,47.6,47.09266666666666
GSM1344402,47.6,47.80200000000001
GSM1343672,50.3,48.41300000000002
GSM1345420,50.4,55.47866666666668
GSM1343331,45.1,46.11166666666668
GSM1344849,58.0,50.00333333333332
GSM1345753,51.3,55.66733333333334
GSM1344405,40.6,49.75499999999999
GSM1345540,42.8,43.48933333333332
GSM1345167,72.6,62.68066666666663
GSM1344951,49.9,40.6816666666667
GSM1345127,45.1,47.235333333333365
GSM1343606,50.8,44.07666666666666
GSM1343503,56.0,56.79366666666669
GSM1344202,51.1,43.92066666666666
GSM1343990,35.4,43.02366666666671
GSM1343791,44.3,55.771333333333324
GSM1344997,48.3,47.55133333333333
GSM1344608,36.4,41.801666666666684
GSM1344162,71.2,58.64533333333332
GSM1344446,39.8,51.83933333333332
GSM1344319,35.5,42.35800000000001
GSM1344809,61.9,60.698000000000015
GSM1344559,58.3,53.689000000000036
GSM1345427,45.5,56.69833333333333
GSM1344090,50.1,54.59000000000004
GSM1343969,66.4,59.59433333333339
GSM1344912,66.5,56.41766666666669
GSM1344114,37.0,41.379333333333356
GSM1345282,45.2,45.12733333333334
GSM1345117,44.9,49.44866666666665
GSM1345687,58.3,54.71633333333335
GSM1343409,60.6,62.90700000000001
GSM1345649,48.6,46.11233333333336
GSM1343651,65.6,58.420333333333254
GSM1343514,52.9,48.93399999999999
GSM1343356,35.1,41.70266666666668
GSM1343348,35.2,41.26933333333333
GSM1344691,40.4,46.85533333333332
GSM1345623,35.2,48.69266666666668
GSM1343528,56.2,50.75333333333333
GSM1344096,41.7,49.074000000000005
GSM1345173,41.7,43.336666666666716
GSM1343242,50.4,57.904666666666635
GSM1345033,52.9,47.82933333333331
GSM1343381,48.6,49.32666666666673
GSM1344130,71.1,59.72200000000001
GSM1343264,50.6,48.829333333333366
GSM1343732,36.2,43.95533333333337
GSM1343874,35.7,44.495999999999995
GSM1345015,49.4,48.55233333333333
GSM1344647,57.6,49.401999999999994
GSM1344498,52.9,54.23700000000001
GSM1344327,56.4,52.68166666666665
GSM1343183,45.5,46.08333333333338
GSM1344420,50.5,47.450000000000024
GSM1343231,49.0,48.10733333333335
GSM1343355,41.8,46.30500000000001
GSM1343200,50.4,49.8886666666667
GSM1343564,52.5,56.59533333333333
GSM1343718,46.2,46.98533333333331
GSM1344225,53.5,46.641
GSM1345711,52.1,49.386666666666706
GSM1344292,48.2,55.78066666666667
GSM1343434,49.1,52.39800000000003
GSM1345565,47.1,43.500666666666696
GSM1344432,73.4,55.50200000000002
GSM1345299,57.3,56.505333333333354
GSM1344027,54.0,53.22933333333336
GSM1345463,44.9,46.11600000000002
GSM1344702,47.9,54.634000000000036
GSM1345156,42.9,51.420666666666705
GSM1344900,49.2,50.15366666666666
GSM1343325,49.0,47.74166666666668
GSM1345183,55.3,50.52900000000002
GSM1343745,44.5,47.85366666666664
GSM1343825,55.4,45.55166666666671
GSM1344345,66.3,59.629333333333285
GSM1345564,68.3,61.158666666666626
GSM1345182,53.5,46.10099999999999
GSM1344181,68.0,56.36666666666665
GSM1343795,49.3,51.28433333333338
GSM1344015,38.9,42.8116666666667
GSM1343241,53.7,54.09733333333332
GSM1344571,48.9,46.32766666666671
GSM1345011,45.5,47.96966666666667
GSM1344918,71.0,55.884666666666675
GSM1343456,23.7,38.653333333333315
GSM1345067,43.0,48.07900000000002
GSM1343646,71.9,59.16466666666665
GSM1343929,43.5,51.26800000000002
GSM1343751,67.5,53.71366666666668
GSM1345224,41.2,44.701333333333324
GSM1345535,50.2,47.099333333333284
GSM1344186,55.2,44.28700000000002
GSM1343306,54.3,44.989333333333335
GSM1344122,68.7,59.15999999999999
GSM1345107,72.9,63.821666666666694
GSM1344460,45.9,43.55033333333331
GSM1343860,37.8,44.09800000000005
GSM1344194,46.6,44.759666666666675
GSM1344134,69.2,57.527333333333324
GSM1344968,37.2,43.867
GSM1345360,60.0,54.884333333333316
GSM1345482,35.2,41.83666666666665
GSM1344901,36.2,42.73000000000004
GSM1345256,43.7,52.315666666666694
GSM1343870,45.3,43.13900000000001
GSM1345395,43.9,45.735
GSM1345030,53.4,52.27400000000007
GSM1344741,45.6,46.02766666666669
GSM1343542,43.2,45.18200000000001
GSM1344253,51.4,58.994666666666625
GSM1344989,56.8,50.373000000000026
GSM1344925,70.3,58.30399999999999
GSM1345071,43.1,51.56933333333333
GSM1343127,50.4,55.94199999999997
GSM1345028,58.9,59.56333333333335
GSM1345613,55.4,47.08033333333337
GSM1345660,53.3,46.662000000000006
GSM1344336,52.8,44.749000000000024
GSM1344928,65.6,55.272666666666666
GSM1343879,49.9,47.914333333333346
GSM1344213,53.2,44.92233333333332
GSM1343631,70.3,63.41433333333347
GSM1344785,35.2,39.20800000000002
GSM1343295,45.9,54.59133333333334
GSM1343280,47.4,51.52466666666666
GSM1343784,73.5,63.571333333333364
GSM1344751,37.8,44.31700000000003
GSM1344720,42.2,44.69100000000003
GSM1345084,41.9,52.80833333333332
GSM1344277,37.9,45.01700000000001
GSM1345373,74.4,60.391666666666694
GSM1343624,43.8,47.51100000000004
GSM1343647,55.3,54.65966666666667
GSM1345592,67.2,60.73833333333336
GSM1344359,58.5,54.34733333333333
GSM1344618,49.5,46.78599999999998
GSM1343534,46.0,53.65666666666669
GSM1344516,51.4,53.15533333333335
GSM1344349,74.4,64.73233333333337
GSM1344416,64.4,59.15366666666667
GSM1343692,43.2,44.904
GSM1344576,57.3,52.85299999999999
GSM1345377,60.8,59.561333333333316
GSM1344994,58.4,54.208333333333286
GSM1344769,66.6,61.42033333333337
GSM1344866,35.1,43.77899999999999
GSM1343538,54.1,55.719999999999985
GSM1344215,43.9,46.119000000000035
GSM1345740,56.0,52.31166666666666
GSM1343399,64.3,58.34666666666668
GSM1343622,59.5,54.20700000000002
GSM1343975,50.9,60.560999999999986
GSM1344894,46.1,52.728666666666655
GSM1345400,38.7,43.38866666666668
GSM1343604,69.9,66.546
GSM1343733,56.6,59.46766666666669
GSM1344610,54.3,49.77166666666666
GSM1343869,43.9,43.516666666666694
GSM1345004,51.7,57.17666666666669
GSM1344672,48.6,47.4513333333333
GSM1345338,57.3,56.573000000000015
GSM1345094,48.7,58.64600000000001
GSM1344704,45.8,41.96866666666667
GSM1345268,59.0,55.189
GSM1345603,41.5,43.19300000000005
GSM1344802,68.4,63.31799999999994
GSM1345027,41.3,41.408000000000015
GSM1345619,55.7,54.37033333333335
GSM1344189,49.9,57.01400000000005
GSM1344177,56.8,53.410333333333305
GSM1345232,47.0,47.90133333333334
GSM1343889,43.2,61.278666666666616
GSM1345580,58.8,48.07633333333338
GSM1343866,54.3,52.07433333333335
GSM1345676,49.2,46.54499999999998
GSM1343437,56.6,58.95066666666667
GSM1344221,46.4,52.11733333333331
GSM1343743,48.8,47.26933333333334
GSM1343488,63.8,55.695000000000014
GSM1343222,61.1,54.962999999999965
GSM1344801,45.9,43.704000000000036
GSM1344382,65.2,56.84066666666664
GSM1343816,35.2,40.85133333333335
GSM1345412,59.7,55.30166666666667
GSM1344783,63.3,62.575333333333326
GSM1343700,55.3,55.81666666666669
GSM1345745,61.5,54.562666666666686
GSM1344715,58.4,52.12933333333335
GSM1344444,55.3,52.629666666666694
GSM1343343,58.5,52.84033333333331
GSM1343466,46.2,52.93233333333332
GSM1345344,61.3,61.03199999999998
GSM1345576,43.5,43.95133333333335
GSM1344635,45.0,48.876000000000026
GSM1344259,55.5,50.203999999999986
GSM1345447,49.4,47.48633333333334
GSM1343657,58.3,53.64966666666671
GSM1344071,65.9,57.50000000000002
GSM1344166,47.3,50.038666666666686
GSM1344601,55.0,53.8866666666667
GSM1345691,52.4,48.54133333333332
GSM1345568,39.6,45.99766666666667
GSM1343783,45.8,59.86966666666668
GSM1344294,44.0,49.35433333333336
GSM1345102,38.5,52.61033333333336
